method,tuning_tag,task_name,run_dir,expected_summary
SatImp,paper_b10_1_a0p1_g0p1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp,paper_b5_1_a0p1_g0p1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp,paper_b5_1_a0p5_g0p1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp,paper_b5_1_a1_g0p1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_paper_b5_1_a1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SimNPO,paper_b1_g0p125_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b1_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b1_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b1_g0p125_a1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SimNPO,paper_b8_g0p125_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b8_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b8_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b8_g0p125_a1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SimNPO_pcgrad,paper_b4p5_g0p125_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_pcgrad_paper_b4p5_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_pcgrad_paper_b4p5_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_pcgrad_paper_b4p5_g0p125_a1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SimNPO_sago,paper_b2_g0p125_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_sago_paper_b2_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_sago_paper_b2_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_sago_paper_b2_g0p125_a1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SimNPO_sago,paper_b4p5_g0p125_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_sago_paper_b4p5_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_sago_paper_b4p5_g0p125_a1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_SimNPO_sago_paper_b4p5_g0p125_a1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
UNDIAL,paper_b10_a0p1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b10_a0p1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b10_a0p1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b10_a0p1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
UNDIAL,paper_b20_a0_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b20_a0_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b20_a0_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b20_a0_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
UNDIAL,paper_b5_a0_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b5_a0_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b5_a0_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b5_a0_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA,paper_b1_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_WGA_paper_b1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_paper_b1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_paper_b1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA,paper_b2_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_WGA_paper_b2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_paper_b2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_paper_b2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
